,Exited,CreditScore,Age,Tenure,Balance,NumOfProducts,EstimatedSalary,RowNumber,CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,gender_map,France,Germany,Spain
0,0,1.24648848603414,-1.518200800427985,0.6871298574603482,1.2763643399013818,-0.9115834940401767,-0.4712353109115786,4428,771,23,7,156123.73,1,1,0,72990.62,0,1,0,0
1,1,0.6670690462185503,0.1981638321954454,1.03290776479748,-0.3248861527211708,0.8077365626180215,-0.12359458145631622,191,715,41,8,56214.85,2,0,0,92982.61,0,1,0,0
2,1,-1.73338291873175,0.1981638321954454,-1.3875375865624426,0.6707112765464877,-0.9115834940401767,1.0965112652205613,3939,483,41,1,118334.44,1,0,0,163147.99,1,0,1,0
3,1,-0.19171333779384153,0.48422460429935044,-0.695981771888179,0.9184815641142567,-0.9115834940401767,-1.1386856740936064,3304,632,44,3,133793.89,1,1,1,34607.14,0,1,0,0
4,0,-0.15032623494987085,-0.4693113027136664,-0.695981771888179,-1.2258476714090278,0.8077365626180215,-0.9622027925134488,1767,636,34,3,0.0,2,1,1,44756.25,0,1,0,0
5,0,-1.3298586660030356,-1.3274936190253817,-1.3875375865624426,0.5600872030133487,-0.9115834940401767,1.1927694700895095,8556,522,25,1,111432.13,1,1,1,168683.57,1,0,1,0
6,1,0.35666577488877016,0.48422460429935044,-1.0417596792253108,0.6919165839654475,-0.9115834940401767,0.7876662659277871,7765,685,44,2,119657.53,1,1,0,145387.05,0,0,1,0
7,1,0.5325609619756456,-1.23214002832408,-1.0417596792253108,-0.08341467919381144,-0.9115834940401767,0.15053449503405691,8425,702,26,2,71281.29,1,1,1,108747.12,1,1,0,0
8,1,-0.6055843662335485,-0.08789693990845966,-0.695981771888179,-1.2258476714090278,-0.9115834940401767,-1.5160487270008463,8031,592,38,3,0.0,1,1,1,12905.89,1,0,0,1
9,0,0.6256819433745797,-0.08789693990845966,-0.695981771888179,0.8371422238312543,-0.9115834940401767,0.25567413204504164,3974,711,38,3,128718.78,1,0,0,114793.45,1,0,0,1
10,0,-1.4643667502459403,-1.9949687539344934,0.6871298574603482,0.4246866616722416,-0.9115834940401767,1.246449489349007,9783,509,18,7,102983.91,1,1,0,171770.58,1,1,0,0
11,0,0.35666577488877016,-0.5646648934149681,0.3413519501232164,-1.2258476714090278,-0.9115834940401767,-0.7239385301061897,7563,685,33,6,0.0,1,1,0,58458.26,1,1,0,0
12,0,1.2051013831901694,0.2935174228967471,-1.0417596792253108,0.9156367522973242,-0.9115834940401767,-1.2428690899523824,8572,767,42,2,133616.39,1,1,0,28615.8,0,1,0,0
13,0,-0.3779553005917097,-0.08789693990845966,-0.35020386455104724,-0.06237573316448391,-0.9115834940401767,-0.41816651502906077,7655,614,38,4,72594.0,1,1,1,76042.48,0,1,0,0
14,0,0.9878190932593233,-0.4693113027136664,0.3413519501232164,1.0468925230244763,0.8077365626180215,1.4503231771582268,5018,746,34,6,141806.0,2,1,1,183494.87,1,0,1,0
15,0,2.063883767202561,-0.3739577120123647,0.6871298574603482,0.542740902857944,-0.9115834940401767,0.45673184506996084,626,850,35,7,110349.82,1,0,0,126355.8,1,0,0,1
16,0,-0.20206011350483422,-0.08789693990845966,0.6871298574603482,-1.2258476714090278,0.8077365626180215,1.4174750069282709,7670,631,38,7,0.0,2,1,0,181605.85,1,0,0,1
17,0,-0.5331569362565998,0.2935174228967471,0.3413519501232164,-1.2258476714090278,0.8077365626180215,0.23958843688500048,6769,599,42,6,0.0,2,1,0,113868.4,1,0,0,1
18,0,0.3049318963338068,0.48422460429935044,0.6871298574603482,0.5166994153501985,-0.9115834940401767,-0.48271483365829776,2572,680,44,7,108724.98,1,0,1,72330.46,1,1,0,0
19,0,0.0669560549809753,1.0563461485071606,1.378685672134612,-1.2258476714090278,0.8077365626180215,-1.09409471164531,2894,657,50,9,0.0,2,0,0,37171.46,1,1,0,0
20,0,1.4120368974100228,4.3937218230527195,1.7244635794717436,-1.2258476714090278,0.8077365626180215,0.2860094177740763,3034,787,85,10,0.0,2,1,1,116537.96,0,1,0,0
21,0,-0.15032623494987085,-0.18325053060976135,1.378685672134612,1.2919874053156222,-0.9115834940401767,0.9293556697621207,2320,636,37,9,157098.52,1,1,1,153535.27,0,0,1,0
22,0,0.20146413922388007,-0.6600184841162697,-0.695981771888179,-1.2258476714090278,0.8077365626180215,-0.9375199753739208,1910,670,32,3,0.0,2,1,0,46175.7,0,0,0,1
23,0,-0.6159311419445411,0.2935174228967471,1.378685672134612,1.3649564277422233,0.8077365626180215,0.550600627343437,5397,591,42,9,161651.37,2,1,1,131753.97,1,1,0,0
24,0,0.6360287190855723,0.8656389671045572,1.03290776479748,-1.2258476714090278,0.8077365626180215,1.4458100358990114,5313,712,48,8,0.0,2,1,0,183235.33,0,0,0,1
25,0,-1.5471409559338818,1.7238212834162723,1.7244635794717436,-1.2258476714090278,0.8077365626180215,-0.9084544344809342,199,501,57,10,0.0,2,1,1,47847.19,1,1,0,0
26,0,-0.5538504876785851,2.105235646221479,-0.004425957213915414,-1.2258476714090278,0.8077365626180215,-0.32675792858418046,9596,597,61,5,0.0,2,1,1,81299.17,1,1,0,0
27,1,-0.9159876375633287,0.0074566507928420294,0.3413519501232164,0.8667321132334722,-0.9115834940401767,-1.5691055244728345,8831,562,39,6,130565.02,1,1,0,9854.72,0,0,1,0
28,0,0.9981658689703159,-0.9460792562201749,0.6871298574603482,-1.2258476714090278,0.8077365626180215,0.7236639619226518,9777,747,29,7,0.0,2,1,1,141706.43,1,1,0,0
29,0,-0.5952375905225558,0.38887101359804876,1.7244635794717436,-1.2258476714090278,0.8077365626180215,-0.8105399272888753,3490,593,43,10,0.0,2,0,0,53478.02,1,0,0,1
30,0,1.536198205941935,-1.6135543911292867,1.03290776479748,1.5658499863261208,0.8077365626180215,1.6092409073930385,285,799,22,8,174185.98,2,0,1,192633.85,0,1,0,0
31,1,-0.3779553005917097,-0.18325053060976135,0.3413519501232164,0.3182169750183538,0.8077365626180215,0.6831616752248342,8379,614,37,6,96340.81,2,1,1,139377.24,0,0,1,0
32,1,0.0669560549809753,-0.27860412131106305,1.03290776479748,1.7911121227983184,0.8077365626180215,1.4427353127832898,3458,657,36,8,188241.05,2,0,0,183058.51,1,0,0,1
33,0,-1.0815360489392114,-1.1367864376227783,1.03290776479748,-1.2258476714090278,0.8077365626180215,-1.4821017458123873,576,546,27,8,0.0,2,1,1,14858.1,0,1,0,0
34,0,2.063883767202561,-0.6600184841162697,-0.35020386455104724,-1.2258476714090278,-0.9115834940401767,1.4003671863031115,5810,850,32,4,0.0,1,1,1,180622.02,1,1,0,0
35,0,-1.0091086189622627,-0.6600184841162697,-0.695981771888179,0.6384982302424255,-0.9115834940401767,-0.396221422170379,2015,553,32,3,116324.53,1,1,0,77304.49,1,1,0,0
